name,type,start_time,duration,"mosi","miso"
"SPI","enable",7.39304864,0.00000016,,
"SPI","result",7.39322176,0.00084864,0x01,0xB8
"SPI","disable",7.39409952,0.00000016,,
"SPI","enable",7.39419008,0.00000016,,
"SPI","result",7.3943552,0.0008488,0x8B,0xB8
"SPI","disable",7.3957304,0.00000016,,
"SPI","enable",7.39581824,0.00000016,,
"SPI","result",7.39594224,0.0008488,0x87,0x74
"SPI","disable",7.39683296,0.00000016,,
"SPI","enable",7.49467744,0.00000016,,
"SPI","result",7.49478912,0.0008488,0x47,0xFE
"SPI","disable",7.49567408,0.00000016,,
"SPI","enable",7.49575808,0.00000016,,
"SPI","result",7.49592272,0.00084864,0x01,0xB8
"SPI","disable",7.49680896,0.00000016,,
"SPI","enable",7.49689952,0.00000016,,
"SPI","result",7.49705632,0.00084864,0x8B,0xB8
"SPI","disable",7.49793232,0.00000016,,
"SPI","enable",7.49802016,0.00000016,,
"SPI","result",7.49818976,0.0008488,0x87,0x74
"SPI","disable",7.49907104,0.00000016,,
"SPI","enable",7.59574544,0.00000016,,
"SPI","result",7.5959032,0.00084864,0x47,0xFE
"SPI","disable",7.5967784,0.00000016,,
"SPI","enable",7.59686224,0.00000016,,
"SPI","result",7.59703664,0.0008488,0x01,0xB8
"SPI","disable",7.59791312,0.00000016,,
"SPI","enable",7.59800384,0.00000016,,
"SPI","result",7.59817024,0.0008488,0x8B,0xB8
"SPI","disable",7.59905472,0.00000016,,
"SPI","enable",7.5991424,0.00000016,,
"SPI","result",7.59930384,0.00084864,0x87,0x74
"SPI","disable",7.60019344,0.00000016,,
"SPI","enable",7.69685728,0.00000016,,
"SPI","result",7.69701712,0.0008488,0x47,0xFE
"SPI","disable",7.69790832,0.00000016,,
"SPI","enable",7.69799216,0.00000016,,
"SPI","result",7.69815072,0.00084864,0x01,0xB8
"SPI","disable",7.69902496,0.00000016,,
"SPI","enable",7.69911552,0.00000016,,
"SPI","result",7.69928432,0.00084864,0x8B,0xB8
"SPI","disable",7.70016656,0.00000016,,
"SPI","enable",7.70025424,0.00000016,,
"SPI","result",7.70041776,0.0008488,0x87,0x74
"SPI","disable",7.70130528,0.00000016,,
"SPI","enable",7.7979472,0.00000016,,
"SPI","result",7.79813104,0.0008488,0x47,0xFE
"SPI","disable",7.79901632,0.00000016,,
"SPI","enable",7.79910016,0.00000016,,
"SPI","result",7.79926464,0.0008488,0x01,0xB8
"SPI","disable",7.8001512,0.00000016,,
"SPI","enable",7.80024176,0.00000016,,
"SPI","result",7.80039824,0.0008488,0x8B,0xB8
"SPI","disable",7.80127456,0.00000016,,
"SPI","enable",7.80136224,0.00000016,,
"SPI","result",7.80153184,0.00084864,0x87,0x74
"SPI","disable",7.80241328,0.00000016,,
"SPI","enable",7.8238072,0.00000016,,
"SPI","result",7.82397632,0.00084864,0x47,0xFE
"SPI","disable",7.82485808,0.00000016,,
"SPI","enable",7.82494208,0.00000016,,
"SPI","result",7.82510992,0.00084864,0x01,0xB8
"SPI","disable",7.82599296,0.00000016,,
"SPI","enable",7.82608352,0.00000016,,
"SPI","result",7.82624336,0.0008488,0x8B,0xB8
"SPI","disable",7.82713456,0.00000016,,
"SPI","enable",7.82722224,0.00000016,,
"SPI","result",7.82737696,0.0008488,0x87,0x74
"SPI","disable",7.82825504,0.00000016,,
"SPI","enable",7.82849408,0.00000016,,
"SPI","result",7.82862384,0.0008488,0x47,0xF2
"SPI","disable",7.82950032,0.00000016,,
"SPI","enable",7.82958432,0.00000016,,
"SPI","result",7.82975744,0.0008488,0x0D,0xB8
"SPI","disable",7.8306352,0.00000016,,
"SPI","enable",7.83072576,0.00000016,,
"SPI","result",7.83089104,0.00084864,0x07,0xB8
"SPI","disable",7.8317768,0.00000016,,
"SPI","enable",7.83186448,0.00000016,,
